-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2022 
Location: Latitude  28.3949   Longitude 84.124 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 3516.05 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
QV2M                MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR         MERRA-2 Precipitation Corrected (mm/day) 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
RH2M,2022,75.56,79.44,68.38,63.88,85.75,86.5,91.25,90.88,91.06,78.5,67.12,51.19,77.44
PRECTOTCORR,1981,0.0,0.0,0.0,0.0,0.0,5.27,5.27,5.27,0.0,0.0,0.0,0.0,0.0
PRECTOTCORR,1982,0.0,0.0,0.0,0.0,0.0,0.0,5.27,5.27,5.27,0.0,0.0,0.0,0.0
PRECTOTCORR,1983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRECTOTCORR,1984,0.0,0.0,0.0,0.0,0.0,5.27,5.27,5.27,5.27,0.0,0.0,0.0,0.0
PRECTOTCORR,1985,0.0,0.0,0.0,0.0,0.0,0.0,5.27,5.27,5.27,0.0,0.0,0.0,0.0
PRECTOTCORR,1986,0.0,0.0,0.0,0.0,0.0,5.27,5.27,0.0,0.0,0.0,0.0,0.0,0.0
PRECTOTCORR,1987,0.0,0.0,0.0,0.0,0.0,0.0,5.27,5.27,5.27,5.27,0.0,0.0,0.0
PRECTOTCORR,1988,0.0,0.0,0.0,0.0,0.0,0.0,10.55,5.27,0.0,0.0,0.0,0.0,0.0
PRECTOTCORR,1989,0.0,0.0,0.0,0.0,0.0,0.0,5.27,0.0,0.0,0.0,0.0,0.0,0.0
PRECTOTCORR,1990,0.0,0.0,0.0,0.0,0.0,0.0,10.55,5.27,0.0,0.0,0.0,0.0,0.0
PRECTOTCORR,1991,0.0,0.0,0.0,0.0,0.0,0.0,5.27,5.27,0.0,0.0,0.0,0.0,0.0
PRECTOTCORR,1992,0.0,0.0,0.0,0.0,0.0,0.0,5.27,5.27,0.0,0.0,0.0,0.0,0.0
PRECTOTCORR,1993,0.0,0.0,0.0,0.0,0.0,0.0,5.27,0.0,0.0,0.0,0.0,0.0,0.0
PRECTOTCORR,1994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRECTOTCORR,1995,0.0,0.0,0.0,0.0,0.0,5.27,5.27,5.27,0.0,0.0,0.0,0.0,0.0
PRECTOTCORR,1996,0.0,0.0,0.0,0.0,0.0,0.0,5.27,5.27,0.0,0.0,0.0,0.0,0.0
PRECTOTCORR,1997,0.0,0.0,0.0,0.0,0.0,0.0,5.27,0.0,0.0,0.0,0.0,0.0,0.0
PRECTOTCORR,1998,0.0,0.0,0.0,0.0,0.0,0.0,5.27,5.27,0.0,0.0,0.0,0.0,0.0
PRECTOTCORR,1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRECTOTCORR,2000,0.0,0.0,0.0,0.0,0.0,5.27,5.27,5.27,0.0,0.0,0.0,0.0,0.0
PRECTOTCORR,2001,0.0,0.0,0.0,0.0,0.0,0.0,5.27,5.27,0.0,0.0,0.0,0.0,0.0
PRECTOTCORR,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRECTOTCORR,2003,0.0,0.0,0.0,0.0,0.0,0.0,5.27,0.0,0.0,0.0,0.0,0.0,0.0
PRECTOTCORR,2004,0.0,0.0,0.0,5.27,0.0,5.27,10.55,5.27,5.27,0.0,0.0,0.0,0.0
PRECTOTCORR,2005,0.0,0.0,0.0,0.0,0.0,5.27,10.55,5.27,0.0,5.27,0.0,0.0,0.0
PRECTOTCORR,2006,0.0,0.0,0.0,0.0,5.27,5.27,5.27,5.27,5.27,0.0,0.0,0.0,0.0
PRECTOTCORR,2007,0.0,5.27,0.0,0.0,0.0,5.27,10.55,5.27,5.27,0.0,0.0,0.0,0.0
PRECTOTCORR,2008,0.0,0.0,0.0,0.0,0.0,10.55,10.55,5.27,5.27,0.0,0.0,0.0,5.27
PRECTOTCORR,2009,0.0,0.0,0.0,0.0,5.27,0.0,5.27,5.27,0.0,0.0,0.0,0.0,0.0
PRECTOTCORR,2010,0.0,0.0,0.0,0.0,0.0,0.0,5.27,10.55,5.27,0.0,0.0,0.0,0.0
PRECTOTCORR,2011,0.0,0.0,0.0,0.0,5.27,5.27,10.55,5.27,5.27,0.0,0.0,0.0,0.0
PRECTOTCORR,2012,0.0,0.0,0.0,0.0,0.0,0.0,5.27,5.27,10.55,0.0,0.0,0.0,0.0
PRECTOTCORR,2013,0.0,0.0,0.0,0.0,5.27,10.55,10.55,10.55,5.27,5.27,0.0,0.0,5.27
PRECTOTCORR,2014,0.0,0.0,0.0,0.0,0.0,10.55,10.55,10.55,5.27,0.0,0.0,0.0,5.27
PRECTOTCORR,2015,0.0,0.0,5.27,0.0,5.27,10.55,15.82,15.82,5.27,5.27,0.0,0.0,5.27
PRECTOTCORR,2016,0.0,0.0,0.0,0.0,5.27,10.55,15.82,5.27,10.55,5.27,0.0,0.0,5.27
PRECTOTCORR,2017,0.0,0.0,0.0,5.27,5.27,5.27,10.55,10.55,10.55,0.0,0.0,0.0,5.27
PRECTOTCORR,2018,0.0,0.0,0.0,5.27,10.55,5.27,10.55,10.55,0.0,0.0,0.0,0.0,5.27
PRECTOTCORR,2019,0.0,5.27,0.0,5.27,5.27,10.55,10.55,5.27,10.55,0.0,0.0,0.0,5.27
PRECTOTCORR,2020,0.0,0.0,0.0,5.27,10.55,10.55,15.82,5.27,5.27,0.0,0.0,0.0,5.27
PRECTOTCORR,2021,0.0,0.19,1.02,1.31,7.16,15.18,16.3,20.45,9.83,7.48,0.01,1.29,6.74
PRECTOTCORR,2022,0.16,1.92,0.73,3.07,7.41,11.96,11.68,16.59,10.35,6.38,0.0,0.0,5.88
PRECTOTCORR_SUM,1981,31.64,0.0,21.09,58.01,52.73,126.56,237.3,152.93,58.01,0.0,21.09,0.0,759.38
PRECTOTCORR_SUM,1982,73.83,0.0,5.27,10.55,10.55,36.91,168.75,110.74,94.92,0.0,5.27,0.0,516.8
PRECTOTCORR_SUM,1983,0.0,0.0,10.55,0.0,42.19,63.28,63.28,47.46,36.91,58.01,0.0,5.27,326.95
PRECTOTCORR_SUM,1984,0.0,5.27,5.27,5.27,10.55,94.92,184.57,163.48,131.84,10.55,0.0,0.0,611.72
PRECTOTCORR_SUM,1985,31.64,0.0,0.0,0.0,15.82,15.82,163.48,126.56,110.74,47.46,0.0,0.0,511.52
PRECTOTCORR_SUM,1986,0.0,10.55,0.0,0.0,15.82,89.65,137.11,36.91,15.82,15.82,0.0,26.37,348.05
PRECTOTCORR_SUM,1987,0.0,0.0,5.27,0.0,5.27,10.55,158.2,142.38,89.65,84.38,0.0,0.0,495.7
PRECTOTCORR_SUM,1988,5.27,0.0,26.37,15.82,31.64,63.28,247.85,168.75,36.91,10.55,0.0,15.82,622.27
PRECTOTCORR_SUM,1989,15.82,10.55,0.0,5.27,36.91,52.73,110.74,79.1,26.37,5.27,0.0,0.0,342.77
PRECTOTCORR_SUM,1990,0.0,10.55,5.27,0.0,10.55,73.83,247.85,105.47,73.83,5.27,0.0,0.0,532.62
PRECTOTCORR_SUM,1991,0.0,0.0,5.27,0.0,21.09,10.55,100.2,89.65,63.28,0.0,0.0,21.09,311.13
PRECTOTCORR_SUM,1992,0.0,0.0,0.0,0.0,5.27,36.91,105.47,94.92,68.55,42.19,5.27,0.0,358.59
PRECTOTCORR_SUM,1993,5.27,0.0,26.37,5.27,21.09,52.73,121.29,52.73,52.73,0.0,0.0,0.0,337.5
PRECTOTCORR_SUM,1994,10.55,0.0,5.27,0.0,5.27,58.01,79.1,36.91,73.83,0.0,0.0,0.0,268.95
PRECTOTCORR_SUM,1995,0.0,0.0,0.0,0.0,10.55,100.2,100.2,100.2,21.09,10.55,21.09,0.0,363.87
PRECTOTCORR_SUM,1996,26.37,21.09,0.0,15.82,31.64,52.73,84.38,121.29,31.64,21.09,0.0,0.0,406.05
PRECTOTCORR_SUM,1997,0.0,0.0,0.0,21.09,0.0,36.91,94.92,68.55,10.55,0.0,0.0,10.55,242.58
PRECTOTCORR_SUM,1998,0.0,0.0,5.27,10.55,15.82,52.73,105.47,121.29,47.46,21.09,0.0,0.0,379.69
PRECTOTCORR_SUM,1999,5.27,0.0,0.0,15.82,21.09,36.91,58.01,68.55,31.64,36.91,0.0,0.0,274.22
PRECTOTCORR_SUM,2000,0.0,0.0,0.0,0.0,36.91,84.38,105.47,121.29,79.1,0.0,5.27,0.0,432.42
PRECTOTCORR_SUM,2001,0.0,0.0,10.55,0.0,26.37,42.19,105.47,105.47,68.55,5.27,0.0,0.0,363.87
PRECTOTCORR_SUM,2002,5.27,5.27,21.09,0.0,31.64,36.91,79.1,42.19,36.91,10.55,0.0,10.55,279.49
PRECTOTCORR_SUM,2003,5.27,31.64,0.0,5.27,0.0,31.64,105.47,63.28,36.91,10.55,0.0,5.27,295.31
PRECTOTCORR_SUM,2004,10.55,0.0,10.55,89.65,63.28,174.02,279.49,100.2,126.56,42.19,15.82,0.0,912.3
PRECTOTCORR_SUM,2005,31.64,5.27,21.09,15.82,10.55,94.92,247.85,174.02,52.73,131.84,0.0,0.0,785.74
PRECTOTCORR_SUM,2006,0.0,0.0,21.09,5.27,110.74,163.48,226.76,116.02,121.29,26.37,0.0,15.82,806.84
PRECTOTCORR_SUM,2007,0.0,84.38,21.09,31.64,31.64,110.74,247.85,184.57,137.11,26.37,0.0,0.0,875.39
PRECTOTCORR_SUM,2008,5.27,0.0,15.82,15.82,68.55,263.67,247.85,242.58,137.11,31.64,0.0,0.0,1028.32
PRECTOTCORR_SUM,2009,0.0,0.0,5.27,0.0,121.29,73.83,168.75,232.03,21.09,42.19,5.27,0.0,669.73
PRECTOTCORR_SUM,2010,0.0,10.55,0.0,0.0,26.37,73.83,152.93,268.95,189.84,15.82,5.27,0.0,743.55
PRECTOTCORR_SUM,2011,0.0,10.55,5.27,5.27,116.02,110.74,268.95,221.48,100.2,10.55,0.0,0.0,849.02
PRECTOTCORR_SUM,2012,15.82,5.27,5.27,5.27,15.82,73.83,221.48,210.94,295.31,42.19,5.27,0.0,896.48
PRECTOTCORR_SUM,2013,10.55,42.19,15.82,21.09,116.02,290.04,263.67,279.49,131.84,147.66,5.27,0.0,1323.63
PRECTOTCORR_SUM,2014,10.55,15.82,26.37,31.64,79.1,284.77,353.32,358.59,189.84,73.83,0.0,21.09,1444.92
PRECTOTCORR_SUM,2015,26.37,15.82,116.02,73.83,131.84,263.67,474.61,421.88,152.93,84.38,0.0,0.0,1761.33
PRECTOTCORR_SUM,2016,0.0,5.27,52.73,5.27,131.84,337.5,453.52,189.84,300.59,147.66,0.0,0.0,1624.22
PRECTOTCORR_SUM,2017,5.27,0.0,63.28,158.2,184.57,195.12,258.4,384.96,316.41,52.73,0.0,0.0,1618.95
PRECTOTCORR_SUM,2018,0.0,5.27,36.91,131.84,279.49,200.39,348.05,247.85,58.01,0.0,0.0,0.0,1307.81
PRECTOTCORR_SUM,2019,21.09,94.92,36.91,100.2,174.02,284.77,363.87,200.39,300.59,79.1,21.09,36.91,1713.87
PRECTOTCORR_SUM,2020,36.91,21.09,52.73,142.38,268.95,263.67,437.7,89.65,142.38,0.0,0.0,0.0,1455.47
PRECTOTCORR_SUM,2021,0.0,5.27,31.64,39.4,222.06,455.27,505.23,633.88,294.85,231.92,0.36,40.07,2459.95
PRECTOTCORR_SUM,2022,4.94,53.77,22.73,92.23,229.61,358.67,361.96,514.32,310.53,197.86,0.04,0.03,2146.7
